Date,Category,Amount,Description,Payment_Method
2024-01-01,Food,450,Grocery Shopping,Credit Card
2024-01-02,Transport,120,Uber to Office,UPI
2024-01-03,Entertainment,800,Movie Tickets,Debit Card
2024-01-04,Food,250,Lunch at Restaurant,Cash
2024-01-05,Healthcare,1500,Doctor Consultation,Credit Card
2024-01-06,Shopping,3200,Clothes Shopping,Credit Card
2024-01-07,Food,380,Groceries,UPI
2024-01-08,Transport,95,Metro Card Recharge,UPI
2024-01-09,Entertainment,450,Concert Tickets,Debit Card
2024-01-10,Utilities,2100,Electricity Bill,Net Banking
2024-01-11,Food,520,Dinner with Friends,Credit Card
2024-01-12,Transport,150,Cab to Airport,UPI
2024-01-13,Shopping,1800,Electronics,Credit Card
2024-01-14,Food,340,Breakfast,Cash
2024-01-15,Entertainment,600,Gaming Subscription,Credit Card
2024-01-16,Healthcare,850,Pharmacy,UPI
2024-01-17,Food,420,Groceries,Debit Card
2024-01-18,Transport,180,Fuel,Cash
2024-01-19,Shopping,2500,Shoes,Credit Card
2024-01-20,Food,380,Lunch,UPI
2024-01-21,Utilities,1200,Internet Bill,Net Banking
2024-01-22,Entertainment,950,Streaming Services,Credit Card
2024-01-23,Food,490,Dinner,Cash
2024-01-24,Transport,110,Auto Rickshaw,Cash
2024-01-25,Healthcare,2200,Health Checkup,Credit Card
2024-01-26,Shopping,4100,Laptop Accessories,Credit Card
2024-01-27,Food,560,Weekend Groceries,UPI
2024-01-28,Entertainment,1200,Theatre Show,Debit Card
2024-01-29,Transport,95,Bus Pass,UPI
2024-01-30,Food,420,Restaurant,Credit Card
2024-01-31,Utilities,1800,Mobile Bill,Net Banking
2024-02-01,Food,510,Grocery Shopping,Credit Card
2024-02-02,Transport,130,Uber,UPI
2024-02-03,Entertainment,700,Movie,Debit Card
2024-02-04,Food,290,Lunch,Cash
2024-02-05,Shopping,2800,Clothes,Credit Card
2024-02-06,Healthcare,950,Medicines,UPI
2024-02-07,Food,440,Groceries,Debit Card
2024-02-08,Transport,160,Cab,UPI
2024-02-09,Entertainment,850,Gaming,Credit Card
2024-02-10,Utilities,2300,Electricity,Net Banking
2024-02-11,Food,580,Dinner Out,Credit Card
2024-02-12,Transport,145,Metro,UPI
2024-02-13,Shopping,3500,Mobile Phone,Credit Card
2024-02-14,Food,1200,Valentine Dinner,Credit Card
2024-02-15,Entertainment,500,Movie Date,Debit Card
2024-02-16,Healthcare,1100,Doctor Visit,UPI
2024-02-17,Food,390,Groceries,Cash
2024-02-18,Transport,175,Fuel,Cash
2024-02-19,Shopping,1900,Watch,Credit Card
2024-02-20,Food,320,Lunch,UPI
2024-02-21,Utilities,1150,Gas Bill,Net Banking
2024-02-22,Entertainment,650,Concert,Debit Card
2024-02-23,Food,470,Dinner,Cash
2024-02-24,Transport,125,Auto,Cash
2024-02-25,Healthcare,1800,Dental Checkup,Credit Card
2024-02-26,Shopping,2200,Books,Credit Card
2024-02-27,Food,520,Groceries,UPI
2024-02-28,Entertainment,900,Sports Event,Credit Card
2024-03-01,Transport,105,Bus,UPI
2024-03-02,Food,450,Restaurant,Credit Card
2024-03-03,Utilities,1950,Water Bill,Net Banking
2024-03-04,Food,540,Grocery Shopping,Credit Card
2024-03-05,Transport,140,Uber,UPI
2024-03-06,Entertainment,780,Museum,Debit Card
2024-03-07,Food,310,Lunch,Cash
2024-03-08,Shopping,5200,Festival Shopping,Credit Card
2024-03-09,Healthcare,1050,Medicines,UPI
2024-03-10,Food,460,Groceries,Debit Card
2024-03-11,Transport,155,Cab,UPI
2024-03-12,Entertainment,1100,Weekend Trip,Credit Card
2024-03-13,Utilities,2200,Electricity,Net Banking
2024-03-14,Food,620,Family Dinner,Credit Card
2024-03-15,Transport,135,Metro,UPI
2024-03-16,Shopping,2700,Gifts,Credit Card
2024-03-17,Food,380,Breakfast,Cash
2024-03-18,Entertainment,550,Movie,Debit Card
2024-03-19,Healthcare,1450,Lab Tests,Credit Card
2024-03-20,Food,490,Groceries,UPI
2024-03-21,Transport,190,Fuel,Cash
2024-03-22,Shopping,3100,Home Decor,Credit Card
2024-03-23,Food,340,Lunch,UPI
2024-03-24,Utilities,1300,Internet,Net Banking
2024-03-25,Entertainment,850,Gaming,Credit Card
2024-03-26,Food,510,Dinner,Cash
2024-03-27,Transport,115,Auto,Cash
2024-03-28,Healthcare,2100,Surgery Consultation,Credit Card
2024-03-29,Shopping,1600,Shoes,Debit Card
2024-03-30,Food,580,Weekend Groceries,UPI
2024-03-31,Entertainment,1300,Party,Credit Card
